554,219,179,203,0164
561,44,106,69,0043
562,83,151,106,0038
563,143,192,152,0037
564,167,205,175,0036
580,136,141,51,01C4
581,167,174,56,01C3
597,91,163,179,00EF
598,144,195,204,00EE
600,205,47,99,013D
601,209,40,106,013C
602,226,72,116,013B
603,255,164,190,013A
604,255,176,190,0139
605,255,192,205,0138
606,250,50,3,020A
608,253,93,53,0209
610,121,96,71,01D9
611,150,118,86,01D8
612,188,154,120,01D7
613,220,196,170,01D6
632,135,85,57,0239
640,133,123,97,0188
642,164,152,120,0187
644,221,216,203,0186
645,110,101,92,019E
646,135,125,115,019D
647,176,166,156,019C
648,188,180,172,019B
666,227,29,66,0110
676,229,206,151,01E9
677,245,236,203,01DF
680,188,141,14,01EB
699,5,101,23,0068
700,7,115,27,0067
701,63,143,41,0066
702,71,167,47,0065
703,123,181,71,0064
704,158,207,52,0063
712,255,251,239,0240
718,156,36,98,0144
720,229,92,31,020F
721,242,120,66,020E
722,247,151,111,020D
725,255,200,64,01F8
726,253,215,85,01F7
727,255,241,175,01F6
728,228,180,104,01E4
729,208,165,62,01EA
730,130,123,48,01C9
731,147,139,55,01C8
732,148,140,54,01C7
733,188,179,76,01C6
734,199,192,119,01C5
738,236,204,158,0242
739,248,228,200,0241
740,255,139,0,01FF
741,255,163,43,01FE
742,255,191,87,01FD
743,254,211,118,01FC
744,255,231,147,01FB
745,255,233,173,01FA
746,252,252,238,01DE
747,229,252,253,00E8
754,247,203,191,0227
758,238,170,155,0229
760,245,173,173,0102
761,255,201,201,0101
762,236,236,236,01A0
772,228,236,212,005D
775,217,235,241,00CF
776,252,176,185,0129
777,145,53,70,0126
778,223,179,187,014E
779,98,75,69,023F
780,148,99,26,01E8
781,162,109,32,01E7
782,174,119,32,01E6
783,206,145,36,01E5
791,70,69,99,0175
792,85,91,123,0173
793,112,125,162,0171
794,143,156,193,0170
796,17,65,109,017E
797,19,71,125,017D
798,70,106,142,017C
799,116,142,182,017B
800,192,204,222,0179
801,101,57,25,0248
803,44,89,124,00D6
806,61,149,165,00EB
807,100,171,186,00EA
809,148,168,198,017A
813,161,194,215,00C1
814,123,0,27,0116
815,135,7,31,0115
816,151,11,35,0114
817,187,5,31,010B
818,255,223,217,011B
819,255,238,235,0127
820,14,54,92,017F
822,231,226,211,0185
823,33,48,99,00D8
824,57,105,135,00C4
825,71,129,165,00C3
826,107,158,191,00C2
827,189,221,237,00C0
828,197,232,237,00E0
829,126,107,66,01D5
830,141,120,75,01D4
831,170,143,86,01D3
832,189,155,81,01D2
833,200,171,108,01D1
834,219,190,127,01D0
838,89,73,55,0199
839,103,85,65,0198
840,154,124,92,0197
841,182,155,126,0196
842,209,186,161,0195
844,72,72,72,019F
869,131,94,57,01E3
890,23,73,35,0057
891,255,87,115,011A
892,255,121,140,0119
893,252,144,162,0118
894,255,178,187,0117
895,27,83,0,0062
898,73,42,19,0249
899,242,118,136,012A
900,209,88,7,0204
902,130,38,55,0154
904,85,120,34,006C
905,98,138,40,006B
906,127,179,53,006A
907,199,230,102,0069
909,21,111,73,0050
910,24,126,86,004F
911,24,144,101,004E
912,27,157,107,004D
913,109,171,119,004C
915,130,0,67,0146
917,155,19,89,0145
918,130,52,10,0215
919,166,69,16,0214
920,172,84,20,0213
921,198,98,24,0212
922,226,115,35,0211
924,86,106,106,00F7
926,152,174,174,00F5
927,189,203,203,00F4
928,221,227,227,00F3
930,69,92,113,00DE
931,106,133,158,00DD
932,162,181,198,00DC
934,49,57,25,0074
935,66,77,33,0073
936,76,88,38,0072
937,98,113,51,0071
938,54,31,14,024A
939,27,40,83,00D9
943,61,147,132,002F
945,251,213,187,0217
946,235,99,7,0203
947,255,123,77,0202
948,254,231,218,0226
950,238,211,196,0234
951,255,226,207,020B
954,136,186,145,004B
955,162,214,173,004A
956,255,145,145,011D
957,253,181,181,011C
958,62,182,161,00FD
959,89,199,180,00FC
961,207,115,115,0122
962,230,138,138,0121
963,255,215,215,011F
964,169,226,216,00FB
966,185,215,192,0035
967,255,222,213,0205
970,247,139,19,0200
971,246,127,0,0201
972,255,181,21,01F9
973,255,227,0,01F3
975,145,79,18,0225
976,194,129,66,0223
977,220,156,86,0222
986,64,82,48,1E6B
987,88,113,65,005B
988,115,139,91,005A
989,141,166,117,0059
991,71,123,110,0034
992,111,174,159,0032
993,144,192,180,0031
995,38,150,182,00C7
996,48,194,236,00C5
3011,137,138,88,01CC
3012,166,167,93,01CB
3013,185,185,130,01CA
3021,79,75,65,018A
3022,142,144,120,018D
3023,177,170,151,018C
3024,235,234,231,018B
3031,75,60,42,0180
3032,179,159,139,0191
3033,227,216,204,018F
3041,149,111,124,0157
3042,183,157,167,0156
3045,188,150,106,01DC
3046,216,188,154,01DB
3047,231,214,193,01DA
3051,95,102,72,0078
3052,136,146,104,0077
3053,156,164,130,0076
3064,196,142,112,0235
3072,230,232,232,019A
3078,253,249,205,01F5
3325,184,210,230,00D1
3326,251,173,180,0128
3328,227,109,109,0104
3340,255,131,111,0208
3341,252,171,152,0207
3345,27,89,21,0061
3346,64,106,58,1E6C
3347,113,147,92,005F
3348,204,217,177,005E
3350,188,67,101,0131
3354,228,166,172,012E
3362,94,107,71,007E
